timestamps,TP9,AF7,AF8,TP10,Right AUX
1644798599.495,-45.410,-85.449,-33.203,-35.645,0.000,0
1644798599.484,-62.500,-271.973,-35.156,-53.223,0.000,0
1644798599.488,-40.527,-522.949,-30.762,-40.039,0.000,0
1644798599.492,-26.855,-140.137,-21.484,-30.273,0.000,0
1644798599.497,-35.156,354.980,-22.461,-25.879,0.000,0
1644798599.501,-59.570,83.984,-30.273,-21.484,0.000,0
1644798599.505,-55.664,-733.398,-35.156,-14.648,0.000,0
1644798599.510,-36.133,-779.297,-30.273,-19.043,0.000,0
1644798599.514,-42.969,98.145,-27.344,-28.320,0.000,0
1644798599.518,-42.480,335.449,-32.715,-38.086,0.000,0
1644798599.522,-47.852,-159.668,-34.668,-41.992,0.000,0
1644798599.527,-67.383,-560.059,-37.109,-45.410,0.000,0
1644798599.531,-60.059,-263.672,-34.180,-59.570,0.000,0
1644798599.521,-29.297,169.922,-30.762,-42.480,0.000,0
1644798599.525,-22.461,89.844,-29.785,-23.438,0.000,0
1644798599.529,-42.480,-74.707,-29.297,-30.762,0.000,0
1644798599.534,-47.852,-327.148,-37.598,-46.875,0.000,0
1644798599.538,-45.898,-608.887,-38.574,-46.875,0.000,0
1644798599.542,-38.086,-498.047,-35.156,-25.879,0.000,0
1644798599.547,-25.879,-218.750,-31.250,-18.555,0.000,0
1644798599.551,-31.250,-171.875,-26.367,-18.066,0.000,0
1644798599.555,-53.223,-577.637,-41.016,-24.414,0.000,0
1644798599.559,-55.664,-869.629,-41.992,-29.297,0.000,0
1644798599.564,-36.133,-214.355,-30.762,-28.809,0.000,0
1644798599.568,-23.926,417.480,-30.273,-33.203,0.000,0
1644798599.558,-29.297,-5.859,-31.738,-25.879,0.000,0
1644798599.563,-44.434,-846.191,-36.133,-16.113,0.000,0
1644798599.567,-47.363,-612.793,-33.203,-40.039,0.000,0
1644798599.571,-41.992,42.969,-28.809,-41.016,0.000,0
1644798599.575,-28.809,89.355,-27.832,-24.902,0.000,0
1644798599.580,-27.344,-247.070,-31.738,-20.020,0.000,0
1644798599.584,-51.270,-611.816,-40.039,-33.691,0.000,0
1644798599.588,-49.805,-666.016,-38.574,-49.805,0.000,0
1644798599.592,-16.113,-737.305,-32.715,-31.250,0.000,0
1644798599.597,-19.531,-533.691,-34.668,-14.648,0.000,0
1644798599.601,-36.621,208.008,-37.598,-29.785,0.000,0
1644798599.605,-41.992,-186.523,-41.992,-36.133,0.000,0
1644798599.597,-53.223,-699.219,-39.062,-43.945,0.000,0
1644798599.601,-40.527,-259.277,-37.109,-42.969,0.000,0
1644798599.605,-28.809,296.875,-36.133,-25.879,0.000,0
1644798599.609,-38.086,246.094,-30.762,-24.414,0.000,0
1644798599.613,-51.758,-374.512,-33.203,-19.531,0.000,0
1644798599.618,-44.922,-806.152,-35.645,-38.086,0.000,0
1644798599.622,-27.832,-553.711,-29.297,-46.875,0.000,0
1644798599.626,-31.250,-241.211,-27.344,-20.020,0.000,0
1644798599.630,-34.180,-395.996,-28.809,-11.719,0.000,0
1644798599.634,-52.246,-383.301,-33.203,-20.020,0.000,0
1644798599.639,-60.059,-505.859,-39.062,-34.180,0.000,0
1644798599.643,-31.250,-720.703,-36.133,-34.180,0.000,0
1644798599.636,-16.602,-623.535,-33.203,-18.066,0.000,0
1644798599.640,-23.926,-4.883,-28.320,-16.602,0.000,0
1644798599.644,-34.668,125.488,-32.227,-23.926,0.000,0
1644798599.649,-51.758,-547.852,-36.621,-29.297,0.000,0
1644798599.653,-43.945,-493.652,-31.250,-29.297,0.000,0
1644798599.657,-19.043,-76.172,-28.320,-27.344,0.000,0
1644798599.661,-21.484,3.418,-26.855,-26.855,0.000,0
1644798599.665,-35.645,-477.539,-27.832,-12.207,0.000,0
1644798599.670,-50.293,-943.359,-28.809,-19.531,0.000,0
1644798599.674,-50.781,-377.441,-26.367,-42.480,0.000,0
1644798599.678,-31.250,179.688,-24.414,-44.434,0.000,0
1644798599.682,-31.738,-2.930,-22.949,-32.227,0.000,0
1644798599.675,-42.969,-176.270,-30.762,-27.344,0.000,0
1644798599.679,-52.246,-455.078,-35.156,-39.062,0.000,0
1644798599.683,-52.246,-620.605,-31.738,-46.387,0.000,0
1644798599.687,-36.621,-173.340,-28.809,-40.527,0.000,0
1644798599.692,-41.016,215.820,-33.203,-22.949,0.000,0
1644798599.696,-46.387,-53.711,-37.598,-13.184,0.000,0
1644798599.700,-51.270,-768.555,-41.016,-28.320,0.000,0
1644798599.704,-65.430,-884.277,-36.133,-40.527,0.000,0
1644798599.708,-49.316,-210.449,-26.367,-51.758,0.000,0
1644798599.712,-35.645,400.391,-28.320,-35.645,0.000,0
1644798599.716,-53.711,82.520,-33.203,-22.461,0.000,0
1644798599.721,-67.871,-882.812,-38.574,-27.344,0.000,0
1644798599.714,-71.289,-793.945,-43.457,-40.527,0.000,0
1644798599.718,-59.570,29.297,-39.551,-58.105,0.000,0
1644798599.722,-43.457,-62.500,-35.645,-40.527,0.000,0
1644798599.726,-46.875,-299.805,-38.086,-25.879,0.000,0
1644798599.731,-63.477,-347.168,-41.992,-41.992,0.000,0
