timestamps,TP9,AF7,AF8,TP10,Right AUX
1644798745.719,-30.762,670.898,-31.250,-4.883,0.000,0
1644798745.724,-39.062,-5.859,-34.180,-12.695,0.000,0
1644798745.712,-37.598,-386.230,-34.180,-39.062,0.000,0
1644798745.716,-28.320,262.207,-31.250,-32.715,0.000,0
1644798745.721,-13.184,630.371,-32.227,-9.277,0.000,0
1644798745.725,-22.461,136.719,-34.180,-19.531,0.000,0
1644798745.729,-46.875,-463.379,-41.016,-37.598,0.000,0
1644798745.733,-44.922,-279.785,-41.992,-50.293,0.000,0
1644798745.738,-30.762,106.445,-35.156,-50.781,0.000,0
1644798745.742,-15.137,19.531,-30.273,-15.625,0.000,0
1644798745.746,-9.277,-64.941,-30.762,-8.789,0.000,0
1644798745.751,-30.762,222.168,-34.668,-36.133,0.000,0
1644798745.755,-47.852,-117.676,-37.598,-38.086,0.000,0
1644798745.759,-32.227,-55.176,-33.691,-30.273,0.000,0
1644798745.749,-18.066,416.992,-32.227,-29.785,0.000,0
1644798745.753,-20.020,516.602,-34.668,-39.551,0.000,0
1644798745.757,-27.832,110.352,-33.691,-44.922,0.000,0
1644798745.762,-37.598,-245.117,-36.133,-46.875,0.000,0
1644798745.766,-33.691,18.555,-33.691,-41.016,0.000,0
1644798745.770,-20.020,236.328,-34.180,-23.438,0.000,0
1644798745.774,-16.113,117.676,-35.156,-18.066,0.000,0
1644798745.779,-27.832,-368.652,-31.250,1.465,0.000,0
1644798745.783,-53.711,-291.992,-28.809,8.301,0.000,0
1644798745.787,-46.387,191.895,-32.715,-6.348,0.000,0
1644798745.791,-13.672,220.215,-35.645,-1.953,0.000,0
1644798745.795,-11.719,289.062,-33.691,-20.020,0.000,0
1644798745.788,-28.320,285.156,-34.668,-51.758,0.000,0
1644798745.792,-35.156,-189.941,-37.109,-55.176,0.000,0
1644798745.796,-24.414,-307.617,-38.086,-42.480,0.000,0
1644798745.800,-10.254,166.504,-34.180,-30.273,0.000,0
1644798745.804,-9.277,410.156,-28.809,-26.367,0.000,0
1644798745.809,-20.020,115.723,-33.203,-19.043,0.000,0
1644798745.813,-34.668,-610.352,-39.062,-24.902,0.000,0
1644798745.817,-33.203,-661.133,-36.133,-40.039,0.000,0
1644798745.821,-20.020,244.141,-32.227,-21.973,0.000,0
1644798745.825,-17.090,461.914,-37.598,-14.160,0.000,0
1644798745.829,-20.020,156.250,-40.039,-38.086,0.000,0
1644798745.834,-36.621,-62.012,-40.039,-36.621,0.000,0
1644798745.825,-40.527,-25.391,-40.039,-24.902,0.000,0
1644798745.829,-16.602,161.621,-35.156,-7.324,0.000,0
1644798745.834,-8.789,240.234,-31.250,7.324,0.000,0
1644798745.838,-21.973,229.980,-37.598,-26.367,0.000,0
1644798745.842,-46.387,-137.207,-36.621,-53.223,0.000,0
1644798745.846,-56.152,-415.527,-34.180,-33.203,0.000,0
1644798745.850,-32.715,-233.887,-34.668,-42.480,0.000,0
1644798745.854,-25.879,126.953,-34.180,-62.012,0.000,0
1644798745.858,-34.668,345.703,-38.574,-55.664,0.000,0
1644798745.862,-44.434,-99.609,-41.016,-44.434,0.000,0
1644798745.867,-41.016,-682.129,-42.480,-39.062,0.000,0
1644798745.871,-25.879,-112.793,-41.992,-46.387,0.000,0
1644798745.865,-20.020,480.469,-38.086,-32.227,0.000,0
1644798745.869,-19.531,200.684,-41.504,-10.254,0.000,0
1644798745.873,-25.879,-108.398,-40.039,-15.137,0.000,0
1644798745.877,-39.062,-93.262,-40.039,-27.832,0.000,0
1644798745.881,-37.598,91.797,-42.480,-18.066,0.000,0
1644798745.885,-25.879,67.383,-39.551,-9.766,0.000,0
1644798745.889,-27.832,-29.297,-35.156,-13.672,0.000,0
1644798745.894,-39.551,-72.266,-33.203,-35.156,0.000,0
1644798745.898,-44.434,-134.766,-32.715,-65.918,0.000,0
1644798745.902,-28.809,-353.516,-34.180,-48.828,0.000,0
1644798745.906,-13.672,-94.727,-38.574,-29.785,0.000,2
1644798745.910,-20.508,436.035,-41.016,-27.832,0.000,0
1644798745.905,-36.621,132.812,-41.504,-23.926,0.000,0
1644798745.909,-55.664,-265.137,-42.969,-25.879,0.000,0
1644798745.913,-37.109,-71.289,-40.039,-27.832,0.000,0
1644798745.917,-7.812,342.773,-28.809,-15.137,0.000,0
1644798745.921,-14.160,266.602,-26.367,-15.625,0.000,0
1644798745.925,-23.438,-162.109,-32.227,-27.832,0.000,0
1644798745.929,-27.832,-395.996,-38.086,-38.574,0.000,0
1644798745.933,-28.320,-245.117,-39.062,-41.016,0.000,0
1644798745.937,-14.160,7.324,-34.180,-23.926,0.000,0
1644798745.941,-3.906,-153.320,-37.109,-11.230,0.000,0
1644798745.945,-22.949,-93.750,-39.551,-0.977,0.000,0
1644798745.949,-45.898,6.836,-33.203,-19.531,0.000,0
1644798745.945,-33.691,-143.066,-28.320,-38.574,0.000,0
1644798745.949,-17.090,113.770,-37.109,-38.574,0.000,0
1644798745.953,-13.672,429.688,-43.457,-39.551,0.000,0
1644798745.957,-15.137,286.621,-38.086,-32.227,0.000,0
1644798745.961,-33.691,-174.316,-31.250,-30.762,0.000,0
1644798745.965,-38.574,-415.527,-33.203,-43.945,0.000,0
1644798745.969,-27.832,-31.738,-36.133,-45.898,0.000,0
1644798745.973,-24.414,428.223,-31.738,-29.297,0.000,0
1644798745.977,-23.438,-98.633,-33.691,-14.648,0.000,0
1644798745.981,-40.039,-570.312,-34.180,-22.949,0.000,0
1644798745.985,-49.316,-83.984,-34.180,-47.852,0.000,0
1644798745.989,-25.391,163.574,-32.715,-25.391,0.000,0
1644798745.986,-10.742,205.566,-36.133,-23.438,0.000,0
1644798745.990,-22.461,147.461,-44.434,-26.367,0.000,0
1644798745.994,-31.738,28.320,-41.504,-12.207,0.000,0
1644798745.998,-33.203,-175.293,-37.109,-42.480,0.000,0
1644798746.002,-13.184,-108.887,-30.762,-44.922,0.000,0
1644798746.006,-1.465,117.188,-32.715,-25.391,0.000,0
1644798746.010,-19.531,125.977,-42.480,-13.184,0.000,0
1644798746.014,-29.785,-185.547,-45.410,-16.602,0.000,0
1644798746.018,-41.016,-625.488,-46.387,-32.715,0.000,0
1644798746.022,-30.273,-102.051,-39.062,-47.852,0.000,0
1644798746.026,-5.859,500.977,-28.320,-41.504,0.000,0
1644798746.030,-19.531,260.742,-26.367,-18.066,0.000,0
1644798746.027,-40.039,-23.438,-31.250,-16.113,0.000,0
1644798746.031,-47.852,-51.270,-39.062,-48.828,0.000,0
1644798746.035,-41.992,89.355,-40.527,-62.500,0.000,0
1644798746.039,-23.438,166.992,-40.527,-45.410,0.000,0
1644798746.043,-21.973,69.824,-37.109,-25.879,0.000,0
1644798746.046,-40.527,-118.164,-39.551,-20.996,0.000,0
1644798746.050,-53.711,-286.621,-43.457,-24.902,0.000,0
1644798746.054,-32.715,-479.980,-42.969,-17.578,0.000,0
1644798746.058,-16.602,-244.141,-41.992,-19.043,0.000,0
1644798746.062,-27.832,420.410,-35.156,-20.996,0.000,0
1644798746.066,-29.785,249.512,-37.598,-24.902,0.000,0
1644798746.070,-42.480,-204.590,-43.945,-50.293,0.000,0
1644798746.069,-42.969,-83.984,-39.551,-39.551,0.000,0
1644798746.073,-26.367,309.082,-34.180,-39.551,0.000,0
1644798746.077,-16.113,301.270,-34.180,-42.969,0.000,0
1644798746.081,-22.949,24.902,-36.621,-21.973,0.000,0
1644798746.085,-43.945,-170.410,-38.086,-37.109,0.000,0
1644798746.089,-32.227,-261.230,-28.320,-38.086,0.000,0
1644798746.093,-11.230,-95.215,-27.832,-19.043,0.000,0
1644798746.097,-13.184,-214.355,-33.691,-21.484,0.000,0
1644798746.101,-28.320,-119.141,-36.621,-10.742,0.000,0
1644798746.105,-47.363,65.430,-42.480,-32.227,0.000,0
1644798746.108,-39.062,-165.527,-43.457,-54.199,0.000,0
1644798746.112,-19.531,10.742,-41.992,-42.480,0.000,0
1644798746.110,-24.414,446.777,-39.551,-42.969,0.000,0
1644798746.114,-34.180,404.297,-35.645,-52.246,0.000,0
1644798746.118,-35.645,-129.883,-36.133,-44.434,0.000,0
1644798746.122,-39.062,-243.652,-39.062,-33.203,0.000,0
1644798746.126,-24.414,145.508,-35.156,-41.504,0.000,0
1644798746.130,-16.602,148.926,-37.598,-25.879,0.000,0
1644798746.134,-21.973,9.277,-40.527,-12.695,0.000,0
1644798746.138,-42.480,-60.059,-36.133,-22.461,0.000,0
1644798746.142,-55.664,-93.750,-31.250,-43.945,0.000,0
1644798746.146,-33.203,146.973,-26.855,-39.551,0.000,0
1644798746.150,-15.137,-142.578,-29.297,-32.715,0.000,0
1644798746.154,-25.391,-239.746,-29.297,-34.180,0.000,0
1644798746.152,-37.109,128.418,-26.855,-36.621,0.000,0
1644798746.156,-27.344,-122.559,-27.832,-45.410,0.000,0
1644798746.160,-16.113,-137.695,-29.785,-46.387,0.000,0
1644798746.163,-10.254,263.184,-31.738,-41.992,0.000,0
1644798746.167,-12.695,354.492,-32.227,-20.996,0.000,0
1644798746.171,-26.855,-106.445,-26.855,-13.672,0.000,0
1644798746.175,-39.551,-755.371,-26.855,-20.020,0.000,0
1644798746.179,-36.621,-426.758,-29.297,-20.020,0.000,0
1644798746.183,-14.648,398.438,-23.926,3.418,0.000,0
1644798746.187,-8.789,294.922,-24.902,1.953,0.000,0
1644798746.191,-27.832,-43.457,-26.367,-27.832,0.000,0
1644798746.195,-40.039,-88.867,-28.320,-42.969,0.000,0
1644798746.195,-22.461,32.227,-33.691,-44.434,0.000,0
1644798746.198,-6.836,90.820,-29.297,-35.645,0.000,0
1644798746.202,-9.277,161.133,-27.832,-23.926,0.000,0
1644798746.206,-27.832,191.895,-37.598,-20.508,0.000,0
1644798746.210,-49.805,-107.422,-43.945,-33.691,0.000,0
1644798746.214,-31.250,-520.508,-37.109,-32.227,0.000,0
1644798746.218,-9.277,-240.723,-26.855,-24.902,0.000,0
1644798746.222,-15.137,369.141,-27.344,-14.160,0.000,0
1644798746.226,-31.738,249.512,-28.809,-31.250,0.000,0
1644798746.230,-46.875,-366.699,-33.691,-43.945,0.000,0
1644798746.234,-43.457,-346.191,-35.645,-34.668,0.000,0
1644798746.237,-30.762,270.020,-40.039,-42.480,0.000,0
1644798746.237,-27.832,353.516,-41.504,-35.645,0.000,0
1644798746.241,-33.691,78.613,-40.527,-26.367,0.000,0
1644798746.245,-48.340,-132.812,-40.039,-33.691,0.000,0
1644798746.249,-48.828,-115.723,-37.598,-35.645,0.000,0
1644798746.253,-32.715,-12.207,-39.062,-23.438,0.000,0
1644798746.257,-25.391,2.441,-39.551,-28.809,0.000,0
1644798746.261,-25.879,-56.152,-41.504,-31.738,0.000,0
1644798746.265,-32.715,-236.328,-42.480,-14.160,0.000,0
1644798746.269,-43.945,-394.043,-40.527,-28.809,0.000,0
1644798746.273,-31.250,-360.840,-39.062,-36.133,0.000,0
1644798746.276,-19.531,208.008,-38.574,-9.277,0.000,0
1644798746.280,-28.809,448.242,-38.574,-10.742,0.000,0
1644798746.281,-33.691,-69.336,-33.691,-29.297,0.000,0
1644798746.284,-35.156,-317.383,-32.227,-41.992,0.000,0
1644798746.288,-26.367,113.770,-31.250,-42.969,0.000,0
1644798746.292,-6.836,445.312,-28.809,-32.715,0.000,0
1644798746.296,-7.324,159.668,-28.320,-5.859,0.000,0
1644798746.300,-28.320,-285.645,-31.250,-6.836,0.000,0
1644798746.304,-34.668,-390.625,-32.227,-38.574,0.000,0
1644798746.308,-19.531,-79.102,-29.297,-36.621,0.000,0
1644798746.312,-8.301,-152.832,-28.320,-6.348,0.000,0
1644798746.315,-13.184,-156.738,-25.879,3.906,0.000,0
1644798746.319,-29.785,196.289,-27.344,-14.648,0.000,0
1644798746.323,-33.691,-123.047,-28.809,-14.648,0.000,0
1644798746.324,-17.090,-117.188,-29.297,-25.879,0.000,0
1644798746.328,-5.371,323.242,-30.762,-29.785,0.000,0
1644798746.331,-6.348,445.312,-25.879,1.465,0.000,0
1644798746.335,-21.973,101.562,-24.414,1.953,0.000,0
1644798746.339,-39.551,-317.871,-31.250,-10.254,0.000,0
1644798746.343,-39.551,-233.398,-37.598,-20.508,0.000,0
1644798746.347,-21.973,79.102,-37.109,-31.250,0.000,0
1644798746.351,-14.648,67.383,-38.086,-21.484,0.000,0
1644798746.355,-31.250,-363.770,-38.086,-8.789,0.000,0
1644798746.359,-52.246,-295.898,-38.086,-47.363,0.000,0
1644798746.362,-44.434,-45.410,-39.551,-75.195,0.000,0
1644798746.366,-20.996,42.480,-40.039,-40.527,0.000,0
1644798746.367,-26.855,289.551,-36.621,-22.949,0.000,0
1644798746.371,-35.645,320.801,-33.691,-28.320,0.000,0
1644798746.375,-41.992,-41.016,-35.645,-28.320,0.000,0
1644798746.379,-41.016,-222.656,-38.574,-36.133,0.000,0
1644798746.382,-18.066,111.816,-37.598,-23.926,0.000,0
1644798746.386,-7.324,229.980,-39.062,-12.695,0.000,0
1644798746.390,-19.043,119.141,-43.457,-24.902,0.000,0
1644798746.394,-33.203,-498.535,-44.434,-11.719,0.000,0
1644798746.398,-31.250,-637.695,-46.387,-15.137,0.000,0
1644798746.402,-20.020,283.203,-41.992,-42.969,0.000,0
1644798746.406,-12.695,484.863,-37.109,-41.504,0.000,0
1644798746.410,-16.113,230.957,-37.109,-32.715,0.000,0
1644798746.411,-32.227,3.418,-38.574,-33.203,0.000,0
1644798746.415,-48.340,-117.676,-41.992,-33.203,0.000,0
1644798746.419,-31.738,54.199,-36.621,-23.438,0.000,0
1644798746.423,-11.719,282.227,-32.715,-14.648,0.000,0
1644798746.427,-20.020,276.855,-36.133,-16.113,0.000,0
1644798746.431,-30.762,-146.484,-38.574,-29.785,0.000,0
1644798746.434,-34.668,-416.016,-37.598,-32.715,0.000,0
1644798746.438,-23.926,-375.977,-38.086,-32.227,0.000,0
1644798746.442,-5.859,195.801,-39.062,-28.320,0.000,0
1644798746.446,-4.395,583.008,-37.598,-20.508,0.000,0
1644798746.450,-24.902,35.645,-37.109,-14.648,0.000,0
1644798746.454,-31.250,-245.605,-39.062,-32.715,0.000,0
1644798746.455,-25.391,187.500,-39.062,-56.641,0.000,0
1644798746.459,-22.949,462.891,-37.598,-33.691,0.000,0
1644798746.462,-32.227,261.230,-37.598,-19.531,0.000,0
1644798746.466,-48.828,9.277,-38.574,-30.762,0.000,0
1644798746.470,-61.523,-131.836,-40.039,-51.270,0.000,0
1644798746.474,-54.199,-55.664,-37.598,-65.430,0.000,0
1644798746.478,-39.062,115.723,-33.691,-47.852,0.000,0
1644798746.482,-37.598,326.172,-34.668,-40.527,0.000,0
1644798746.486,-55.176,350.098,-38.086,-34.180,0.000,0
