timestamps,TP9,AF7,AF8,TP10,Right AUX
1644802098.837,-140.625,-25.879,-69.824,-108.887,0.000,0
1644802098.842,-109.375,-26.855,-56.152,-109.375,0.000,0
1644802098.848,-95.215,-25.879,-46.875,-90.332,0.000,0
1644802098.853,-111.816,-21.484,-51.270,-83.984,0.000,0
1644802098.849,-130.859,-20.020,-52.734,-81.543,0.000,0
1644802098.854,-126.953,-22.461,-49.316,-97.168,0.000,0
1644802098.859,-111.328,-22.461,-51.758,-110.352,0.000,0
1644802098.865,-100.098,-17.090,-53.223,-82.520,0.000,0
1644802098.870,-104.492,-14.160,-52.734,-80.566,0.000,0
1644802098.875,-129.883,-22.949,-56.641,-94.238,0.000,0
1644802098.881,-126.953,-26.855,-58.594,-95.703,0.000,0
1644802098.886,-101.562,-21.973,-50.293,-97.168,0.000,0
1644802098.891,-97.168,-19.043,-39.551,-104.980,0.000,0
1644802098.897,-106.934,-20.996,-48.340,-98.633,0.000,0
1644802098.902,-128.418,-25.879,-58.105,-84.473,0.000,0
1644802098.907,-135.254,-26.367,-54.688,-107.422,0.000,0
1644802098.899,-123.047,-27.832,-50.293,-133.789,0.000,0
1644802098.904,-106.445,-29.785,-53.711,-101.562,0.000,0
1644802098.909,-98.633,-22.461,-54.688,-87.402,0.000,0
1644802098.915,-127.930,-19.531,-56.152,-95.703,0.000,0
1644802098.920,-140.137,-26.367,-61.523,-106.934,0.000,0
1644802098.925,-113.770,-26.367,-59.082,-118.652,0.000,0
1644802098.930,-94.727,-21.973,-54.199,-104.980,0.000,0
1644802098.935,-101.074,-24.902,-57.617,-93.262,0.000,0
1644802098.941,-125.488,-22.949,-60.059,-88.867,0.000,0
1644802098.946,-145.996,-16.113,-58.105,-110.840,0.000,0
1644802098.951,-126.465,-21.973,-56.641,-104.980,0.000,0
1644802098.956,-103.027,-20.996,-54.199,-101.562,0.000,0
1644802098.945,-104.492,-15.625,-53.711,-111.816,0.000,0
1644802098.950,-123.047,-20.020,-57.617,-97.168,0.000,0
1644802098.955,-138.184,-23.926,-63.477,-110.840,0.000,0
1644802098.960,-116.211,-20.996,-57.129,-122.559,0.000,0
1644802098.965,-93.750,-17.090,-47.363,-103.516,0.000,0
1644802098.970,-98.633,-23.438,-41.992,-81.543,0.000,0
1644802098.975,-115.723,-27.344,-42.969,-76.172,0.000,0
1644802098.980,-132.812,-25.879,-40.527,-88.867,0.000,0
1644802098.986,-131.836,-27.344,-33.203,-114.746,0.000,0
1644802098.991,-107.422,-22.461,-34.668,-108.398,0.000,0
1644802098.996,-96.191,-19.531,-44.434,-93.750,0.000,0
1644802099.001,-111.816,-17.090,-44.922,-104.004,0.000,0
1644802098.987,-126.953,-18.555,-42.480,-94.727,0.000,0
1644802098.992,-119.141,-22.949,-35.645,-92.773,0.000,0
1644802098.997,-93.750,-19.531,-30.762,-113.770,0.000,0
1644802099.002,-84.473,-18.066,-33.203,-89.355,0.000,0
1644802099.007,-101.074,-21.973,-40.527,-73.730,0.000,0
1644802099.012,-131.348,-28.809,-48.828,-86.426,0.000,0
1644802099.017,-136.719,-30.762,-44.434,-115.723,0.000,0
