timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1641445063.687,-193.359,-72.754,-16.602,-186.035,0.000,0
1641445063.691,-189.941,-75.195,-22.949,-207.031,0.000,0
1641445063.696,16.602,-23.438,40.527,1.953,0.000,0
1641445063.701,81.055,-2.441,70.312,97.168,0.000,0
1641445063.706,-143.066,-58.594,4.883,-127.441,0.000,0
1641445063.697,-225.098,-81.055,-35.156,-234.863,0.000,0
1641445063.702,-56.152,-46.875,-1.953,-71.289,0.000,0
1641445063.707,107.422,4.883,63.477,119.141,0.000,0
1641445063.711,-58.594,-19.531,38.086,-46.387,0.000,0
1641445063.716,-219.238,-77.148,-21.484,-229.004,0.000,0
1641445063.721,-125.000,-67.871,1.465,-134.277,0.000,0
1641445063.726,62.500,-9.277,76.172,73.730,0.000,0
1641445063.730,-16.602,-17.090,57.129,2.930,0.000,0
1641445063.735,-218.262,-70.312,-19.043,-216.309,0.000,0
1641445063.740,-186.035,-64.453,-20.996,-199.707,0.000,0
1641445063.745,31.250,-2.441,45.410,20.996,0.000,0
1641445063.750,43.945,1.465,59.082,47.852,0.000,0
1641445063.738,-177.734,-59.570,-22.949,-183.594,0.000,0
1641445063.743,-203.613,-67.383,-41.504,-227.051,0.000,0
1641445063.747,-26.367,-30.762,26.367,-37.109,0.000,0
1641445063.752,65.918,-9.277,72.266,90.820,0.000,0
1641445063.757,-143.555,-60.547,7.324,-125.977,0.000,0
1641445063.761,-242.188,-96.191,-40.039,-254.395,0.000,0
1641445063.766,-79.590,-52.734,0.000,-101.074,0.000,0
1641445063.771,93.750,5.371,68.359,101.562,0.000,0
1641445063.775,-68.848,-32.715,21.484,-20.996,0.000,0
1641445063.780,-232.910,-81.543,-55.664,-214.355,0.000,0
1641445063.785,-146.484,-56.641,-18.066,-162.109,0.000,0
1641445063.789,62.012,1.953,63.965,56.641,0.000,0
1641445063.776,19.043,-20.996,44.434,27.344,0.000,0
1641445063.780,-202.637,-92.285,-38.574,-211.914,0.000,0
1641445063.785,-173.828,-68.848,-33.203,-193.848,0.000,0
1641445063.789,44.922,-0.977,43.945,42.480,0.000,0
1641445063.794,63.965,-4.883,40.527,67.383,0.000,0
1641445063.799,-150.879,-62.012,-36.133,-155.273,0.000,0
1641445063.803,-206.055,-66.895,-33.691,-226.562,0.000,0
1641445063.808,-38.086,-22.461,24.414,-63.965,0.000,0
1641445063.812,86.914,-0.977,57.129,88.867,0.000,0
1641445063.817,-103.516,-51.758,-0.488,-97.168,0.000,0
1641445063.821,-234.375,-73.730,-32.227,-253.418,0.000,0
1641445063.826,-95.215,-40.039,20.996,-121.582,0.000,0
1641445063.811,93.750,-1.465,63.477,94.727,0.000,0
1641445063.815,-49.805,-33.203,-5.859,-25.391,0.000,0
1641445063.820,-244.629,-71.777,-33.691,-238.770,0.000,0
1641445063.824,-172.852,-58.105,5.859,-182.617,0.000,0
1641445063.829,56.641,-20.996,63.477,50.781,0.000,0
1641445063.833,22.949,-34.180,56.152,33.691,0.000,0
1641445063.837,-218.262,-73.730,-11.719,-211.426,0.000,0
1641445063.842,-197.754,-76.172,-13.184,-216.309,0.000,0
1641445063.846,30.273,-26.855,37.109,15.625,0.000,0
1641445063.851,70.312,14.648,64.941,84.473,0.000,0
1641445063.855,-165.527,-28.809,1.953,-150.391,0.000,0
1641445063.860,-222.656,-71.777,-39.062,-231.445,0.000,0
1641445063.846,-52.734,-39.551,11.719,-67.383,0.000,0
1641445063.851,84.961,8.789,78.613,81.055,0.000,0
1641445063.855,-91.309,-45.410,27.344,-92.285,0.000,0
1641445063.859,-236.328,-93.262,-40.527,-237.305,0.000,0
1641445063.864,-118.164,-62.500,-11.719,-131.348,0.000,0
1641445063.868,94.238,-6.348,74.707,87.891,0.000,0
1641445063.872,1.953,-25.391,59.570,13.184,0.000,0
1641445063.877,-225.098,-89.844,-29.785,-229.004,0.000,0
1641445063.881,-180.176,-72.266,-37.598,-206.055,0.000,0
1641445063.886,55.664,17.090,25.879,35.156,0.000,0
1641445063.890,23.438,0.000,33.691,20.020,0.000,0
1641445063.894,-218.262,-63.965,-18.066,-235.352,0.000,0
