timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1644798902.170,-21.484,128.418,-32.227,-34.180,0.000,0
1644798902.174,-31.250,155.762,-31.250,-23.438,0.000,0
1644798902.179,-40.039,-278.809,-38.086,-37.109,0.000,0
1644798902.184,-40.527,-835.449,-37.598,-32.715,0.000,0
1644798902.189,-36.133,-771.973,-27.344,-32.227,0.000,0
1644798902.193,-27.344,-285.156,-24.414,-27.832,0.000,0
1644798902.198,-28.809,50.781,-25.391,-18.066,0.000,0
1644798902.203,-39.062,-264.648,-29.785,-16.113,0.000,0
1644798902.208,-50.293,-751.465,-35.156,-21.484,0.000,0
1644798902.212,-39.551,-463.867,-36.133,-39.062,0.000,0
1644798902.204,-25.391,166.504,-27.832,-40.527,0.000,0
1644798902.209,-28.809,-122.559,-26.855,-13.672,0.000,0
1644798902.213,-31.738,-937.012,-32.715,0.488,0.000,0
1644798902.218,-41.992,-799.316,-36.133,-38.086,0.000,1
1644798902.223,-43.457,-437.012,-32.715,-48.340,0.000,0
1644798902.227,-28.809,-315.430,-24.902,-32.227,0.000,0
1644798902.232,-23.438,-144.531,-27.832,-19.531,0.000,0
1644798902.237,-27.344,-125.977,-35.156,-7.812,0.000,0
1644798902.241,-34.180,-481.934,-36.133,-16.602,0.000,0
1644798902.246,-42.480,-568.359,-36.133,-39.551,0.000,0
1644798902.251,-31.250,-152.832,-35.645,-20.508,0.000,0
1644798902.255,-20.508,206.055,-34.180,-18.555,0.000,0
1644798902.244,-28.320,4.395,-33.691,-41.016,0.000,0
1644798902.249,-36.621,-611.816,-29.785,-25.391,0.000,0
1644798902.253,-39.551,-665.039,-23.926,-36.621,0.000,0
1644798902.258,-35.156,-84.473,-25.391,-49.316,0.000,0
1644798902.262,-28.809,76.172,-28.320,-28.809,0.000,0
1644798902.267,-30.273,-384.766,-28.809,-17.578,0.000,0
1644798902.271,-44.434,-867.676,-33.203,-19.043,0.000,0
1644798902.276,-50.293,-918.945,-28.320,-35.645,0.000,0
1644798902.281,-31.738,-617.676,-27.832,-45.410,0.000,0
1644798902.285,-22.461,-712.402,-34.180,-19.043,0.000,0
1644798902.290,-31.738,-459.473,-34.668,-13.184,0.000,0
1644798902.294,-44.922,-254.883,-35.645,-26.855,0.000,0
1644798902.281,-43.945,-747.070,-36.133,-31.250,0.000,0
1644798902.286,-30.273,-947.754,-32.715,-21.973,0.000,0
1644798902.290,-29.297,-227.539,-28.320,-21.484,0.000,0
1644798902.295,-29.297,104.980,-29.785,-13.672,0.000,0
1644798902.299,-37.598,-574.219,-34.668,-7.324,0.000,0
1644798902.304,-41.016,-1000.000,-31.250,-23.926,0.000,0
1644798902.308,-36.621,-610.352,-24.414,-30.762,0.000,0
1644798902.313,-30.762,150.391,-23.926,-27.832,0.000,0
1644798902.317,-23.926,-335.938,-22.949,-15.625,0.000,0
1644798902.322,-35.645,-957.031,-25.879,-13.184,0.000,0
1644798902.326,-48.340,-620.605,-30.273,-36.133,0.000,0
1644798902.330,-37.598,-123.535,-28.320,-41.504,0.000,0
1644798902.319,-17.090,-427.734,-26.367,-20.020,0.000,0
1644798902.323,-30.273,-706.055,-30.762,-22.461,0.000,0
1644798902.327,-54.688,-158.203,-33.691,-31.250,0.000,0
1644798902.332,-47.852,-382.324,-36.621,-35.156,0.000,0
1644798902.336,-35.156,-889.648,-38.086,-41.504,0.000,0
1644798902.341,-26.367,-703.125,-39.062,-35.645,0.000,0
1644798902.345,-37.109,-159.180,-46.387,-32.715,0.000,0
1644798902.349,-46.387,-403.809,-43.457,-23.438,0.000,0
1644798902.354,-46.875,-924.316,-41.504,-28.320,0.000,0
1644798902.358,-40.527,-502.441,-40.527,-41.992,0.000,0
1644798902.362,-24.414,345.215,-35.156,-34.180,0.000,0
1644798902.367,-12.695,154.785,-37.109,-19.531,0.000,0
1644798902.355,-24.902,-762.207,-37.109,-11.230,0.000,0
1644798902.359,-48.828,-763.672,-35.645,-19.531,0.000,0
1644798902.364,-42.480,-167.969,-34.180,-38.574,0.000,0
1644798902.368,-20.508,-265.625,-40.039,-36.133,0.000,0
