timestamps,TP9,AF7,AF8,TP10,Right AUX
1644802338.774,-41.504,-11.230,-20.996,-44.922,0.000,0
1644802338.779,-50.293,-13.184,-21.973,-47.852,0.000,0
1644802338.765,-76.172,-18.555,-25.391,-41.992,0.000,0
1644802338.770,-86.426,-27.344,-30.273,-47.363,0.000,0
1644802338.775,-69.824,-32.715,-21.973,-46.875,0.000,0
1644802338.779,-47.363,-29.785,-12.207,-39.062,0.000,0
1644802338.784,-46.387,-32.715,-13.184,-42.969,0.000,0
1644802338.789,-68.848,-33.203,-16.113,-49.316,0.000,0
1644802338.794,-83.984,-31.738,-24.902,-43.945,0.000,0
1644802338.799,-75.684,-27.344,-21.973,-43.945,0.000,0
1644802338.804,-63.965,-16.602,-14.648,-48.340,0.000,0
1644802338.809,-63.965,-11.719,-12.207,-36.133,0.000,0
1644802338.813,-75.195,-22.949,-12.695,-31.738,0.000,0
1644802338.818,-104.004,-31.250,-21.973,-49.316,0.000,0
1644802338.803,-90.820,-24.414,-24.414,-66.895,0.000,0
1644802338.808,-47.852,-25.879,-17.578,-46.387,0.000,0
1644802338.813,-48.340,-30.762,-20.996,-14.160,0.000,0
1644802338.817,-85.449,-24.414,-29.297,-24.414,0.000,0
1644802338.822,-95.215,-24.414,-29.785,-53.223,0.000,0
1644802338.827,-76.172,-25.879,-23.438,-55.664,0.000,0
1644802338.832,-51.758,-26.367,-24.902,-49.316,0.000,0
1644802338.836,-41.016,-29.297,-23.926,-41.016,0.000,0
1644802338.841,-62.500,-22.461,-18.066,-37.598,0.000,0
1644802338.846,-78.125,-24.414,-23.926,-41.016,0.000,0
1644802338.851,-75.195,-26.855,-20.996,-51.758,0.000,0
1644802338.856,-53.711,-19.043,-14.648,-43.945,0.000,0
1644802338.839,-40.039,-21.484,-18.066,-38.086,0.000,0
1644802338.844,-66.895,-26.367,-18.555,-30.273,0.000,0
1644802338.848,-95.703,-32.227,-17.578,-35.156,0.000,0
1644802338.853,-96.191,-34.668,-26.367,-55.176,0.000,0
1644802338.858,-58.105,-25.391,-24.414,-44.434,0.000,0
1644802338.862,-39.551,-27.344,-15.625,-37.598,0.000,0
1644802338.867,-53.223,-27.344,-25.879,-39.551,0.000,0
1644802338.872,-76.172,-27.344,-32.227,-41.504,0.000,0
1644802338.877,-81.055,-33.203,-21.973,-39.551,0.000,0
1644802338.881,-64.453,-34.180,-20.020,-29.785,0.000,0
1644802338.886,-51.758,-27.832,-23.926,-24.902,0.000,0
1644802338.891,-50.293,-22.949,-24.414,-34.180,0.000,0
1644802338.874,-77.637,-31.250,-27.832,-33.203,0.000,0
1644802338.879,-94.238,-38.086,-25.879,-31.250,0.000,0
1644802338.883,-78.613,-29.785,-28.320,-50.781,0.000,0
1644802338.888,-58.594,-23.926,-22.461,-44.922,0.000,0
1644802338.893,-63.477,-29.785,-17.090,-35.156,0.000,0
1644802338.897,-84.961,-33.691,-19.531,-35.156,0.000,0
1644802338.902,-87.402,-23.926,-17.578,-41.016,0.000,0
1644802338.907,-69.824,-16.113,-14.160,-51.758,0.000,0
1644802338.911,-58.105,-24.902,-15.137,-41.016,0.000,0
1644802338.916,-50.293,-30.762,-11.719,-30.762,0.000,0
1644802338.920,-68.848,-25.879,-10.254,-28.320,0.000,0
1644802338.925,-95.215,-24.414,-22.949,-30.762,0.000,0
1644802338.909,-72.266,-27.832,-17.090,-34.668,0.000,0
1644802338.913,-42.969,-20.020,-10.742,-28.320,0.000,0
1644802338.918,-54.199,-5.371,-13.184,-23.926,0.000,0
1644802338.922,-80.566,-15.625,-9.277,-19.043,0.000,0
1644802338.927,-93.262,-32.227,-15.625,-19.043,0.000,0
1644802338.931,-78.613,-27.344,-30.762,-45.898,0.000,0
1644802338.936,-66.895,-20.020,-23.438,-55.664,0.000,0
1644802338.941,-52.734,-27.832,-12.695,-34.180,0.000,0
1644802338.945,-62.500,-31.250,-11.230,-37.598,0.000,0
1644802338.950,-89.355,-28.809,-13.672,-56.641,0.000,0
1644802338.954,-86.426,-25.879,-16.602,-53.223,0.000,0
1644802338.959,-60.059,-24.902,-17.578,-41.504,0.000,0
1644802338.941,-57.617,-26.367,-20.996,-38.574,0.000,0
1644802338.946,-78.613,-22.461,-27.344,-32.227,0.000,0
1644802338.950,-95.215,-23.438,-34.180,-32.715,0.000,0
1644802338.955,-88.867,-30.762,-28.809,-47.852,0.000,0
1644802338.959,-59.570,-33.203,-16.602,-54.199,0.000,0
1644802338.964,-53.711,-26.855,-14.648,-46.387,0.000,0
1644802338.968,-67.383,-21.973,-12.207,-36.621,0.000,0
1644802338.973,-80.078,-33.691,-13.184,-38.086,0.000,0
1644802338.977,-97.656,-43.457,-21.973,-55.664,0.000,0
1644802338.982,-75.195,-28.320,-20.996,-69.336,0.000,0
1644802338.986,-60.547,-22.949,-17.578,-49.805,0.000,0
1644802338.991,-66.895,-33.203,-20.996,-22.461,0.000,0
1644802338.976,-77.637,-31.250,-23.926,-14.160,0.000,0
1644802338.981,-91.797,-25.879,-19.043,-24.902,0.000,0
1644802338.985,-75.195,-30.273,-12.207,-31.738,0.000,0
1644802338.990,-51.758,-30.273,-14.648,-25.391,0.000,0
1644802338.994,-59.082,-27.344,-15.625,-31.250,0.000,0
1644802338.998,-71.289,-28.809,-20.020,-45.410,0.000,0
1644802339.003,-81.543,-33.203,-27.832,-52.734,0.000,0
1644802339.007,-82.520,-31.738,-28.320,-54.199,0.000,0
1644802339.012,-64.941,-22.949,-23.438,-34.668,0.000,0
1644802339.016,-68.848,-15.625,-19.043,-26.367,0.000,0
1644802339.020,-75.195,-22.949,-20.996,-22.461,0.000,0
1644802339.025,-81.543,-23.926,-25.391,-20.996,0.000,0
1644802339.009,-66.406,-13.672,-21.973,-34.668,0.000,0
1644802339.014,-53.711,-10.254,-20.020,-41.992,0.000,0
1644802339.018,-52.246,-19.043,-22.949,-22.461,0.000,0
1644802339.022,-53.711,-21.484,-29.297,-9.766,0.000,0
1644802339.027,-78.125,-22.461,-28.809,-21.484,0.000,0
