timestamps,TP9,AF7,AF8,TP10,Right AUX
1637814693.172,729.492,829.102,172.363,-637.695,0.000,0
1637814693.156,-852.539,-626.465,-858.398,978.516,0.000,0
1637814693.161,-668.457,-907.715,-949.707,516.602,0.000,0
1637814693.166,878.418,643.555,-178.711,-951.172,0.000,0
1637814693.170,-984.863,-965.332,523.926,-1000.000,0.000,0
1637814693.175,920.410,984.375,387.695,-877.930,0.000,0
1637814693.180,-465.332,-245.117,-588.867,619.141,0.000,0
1637814693.184,-981.445,-1000.000,-1000.000,788.086,0.000,0
1637814693.189,589.355,340.332,-329.102,-797.363,0.000,0
1637814693.193,-970.215,-949.707,528.320,-1000.000,0.000,0
1637814693.198,-976.562,-964.355,476.074,-1000.000,0.000,0
1637814693.203,-108.398,18.555,-547.852,196.289,0.000,0
1637814693.207,-1000.000,-1000.000,-1000.000,-942.871,0.000,0
1637814693.191,263.184,100.098,-303.223,-485.352,0.000,0
1637814693.195,-948.242,-955.078,513.184,-1000.000,0.000,0
1637814693.200,-952.637,-944.824,501.465,-1000.000,0.000,0
1637814693.204,118.652,208.496,-385.254,-51.758,0.000,0
1637814693.209,-1000.000,-1000.000,-1000.000,-825.195,0.000,0
1637814693.213,50.781,-114.258,-473.633,-191.895,0.000,0
1637814693.218,-955.566,-978.027,344.238,-1000.000,0.000,0
1637814693.222,-943.848,-929.199,615.723,-1000.000,0.000,0
1637814693.227,235.840,229.492,-179.199,-255.859,0.000,0
1637814693.231,-1000.000,-1000.000,-1000.000,-833.984,0.000,0
1637814693.236,-154.297,-202.148,-666.016,25.879,0.000,0
1637814693.241,-984.863,-998.535,279.297,-1000.000,0.000,0
1637814693.225,-925.781,-917.480,681.152,-1000.000,0.000,0
1637814693.230,226.074,247.559,-145.996,-266.602,0.000,0
1637814693.234,-1000.000,-1000.000,-1000.000,-826.660,0.000,0
1637814693.239,-200.195,-198.730,-682.129,170.410,0.000,0
1637814693.243,998.047,995.605,270.508,-1000.000,0.000,0
1637814693.248,-916.992,-925.293,648.438,-1000.000,0.000,0
1637814693.252,291.016,415.039,-74.219,-256.348,0.000,0
1637814693.257,-1000.000,-1000.000,-1000.000,-830.078,0.000,0
1637814693.261,-203.125,-316.895,-812.988,163.086,0.000,0
1637814693.265,996.582,972.656,39.062,-1000.000,0.000,0
1637814693.270,-931.641,-940.918,641.602,-1000.000,0.000,0
1637814693.274,479.004,600.098,29.297,-409.180,0.000,0
1637814693.261,-1000.000,-1000.000,-1000.000,-886.719,0.000,0
1637814693.265,-345.703,-537.598,-882.324,182.129,0.000,0
1637814693.270,971.680,910.156,-28.809,-1000.000,0.000,0
1637814693.274,-946.289,-952.148,625.000,-1000.000,0.000,0
1637814693.278,646.484,763.672,145.020,-592.285,0.000,0
1637814693.283,-977.539,-772.949,-913.574,-979.004,0.000,0
1637814693.287,-561.035,-790.527,-929.688,411.621,0.000,0
1637814693.291,926.758,769.043,-61.523,-986.816,0.000,0
1637814693.296,-994.141,-988.770,596.680,-1000.000,0.000,0
1637814693.300,897.461,991.211,259.766,-797.852,0.000,0
1637814693.304,-564.941,-282.227,-745.605,774.902,0.000,0
1637814693.309,-847.656,-1000.000,-1000.000,642.578,0.000,0
1637814693.297,747.559,468.262,-289.551,-915.039,0.000,0
1637814693.301,-994.141,-962.402,496.094,-1000.000,0.000,0
1637814693.305,-963.867,-953.613,439.941,-985.352,0.000,0
1637814693.310,-237.793,-53.711,-571.777,442.871,0.000,0
1637814693.314,-1000.000,-1000.000,-991.211,846.680,0.000,0
1637814693.318,599.609,332.520,-274.902,-804.688,0.000,0
1637814693.323,-971.680,-967.773,467.773,-1000.000,0.000,0
1637814693.327,-966.309,-951.660,530.762,-1000.000,0.000,0
1637814693.331,28.320,185.547,-413.574,51.758,0.000,0
1637814693.335,-1000.000,-1000.000,-1000.000,-831.543,0.000,0
