timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1638713732.236,133.301,-35.156,-64.941,-108.887,0.000,0
1638713732.217,-21.973,-37.109,-50.293,-184.082,0.000,0
1638713732.222,-237.793,-45.410,-81.543,-312.012,0.000,0
1638713732.227,-182.129,-37.598,-82.031,-289.062,0.000,0
1638713732.231,69.824,-29.297,-49.316,-132.324,0.000,0
1638713732.236,138.672,-42.969,-62.012,-95.703,0.000,0
1638713732.240,-51.758,-45.410,-89.355,-219.238,0.000,0
1638713732.245,-233.398,-37.598,-79.102,-324.219,0.000,0
1638713732.250,-173.828,-41.016,-62.988,-280.762,0.000,0
1638713732.254,41.016,-53.223,-74.219,-168.457,0.000,0
1638713732.259,134.766,-46.875,-90.820,-139.648,0.000,0
1638713732.263,-4.395,-30.762,-63.477,-194.824,0.000,0
1638713732.268,-196.289,-40.039,-43.945,-276.855,0.000,0
1638713732.251,-194.336,-62.012,-72.266,-285.645,0.000,0
1638713732.256,-19.531,-59.082,-107.910,-213.867,0.000,0
1638713732.260,125.000,-37.109,-87.402,-130.371,0.000,0
1638713732.265,25.879,-39.062,-64.941,-168.945,0.000,0
1638713732.269,-195.312,-45.898,-72.754,-282.715,0.000,0
1638713732.274,-232.422,-44.922,-76.172,-306.641,0.000,0
1638713732.278,-24.902,-49.805,-63.965,-199.219,0.000,0
1638713732.283,135.254,-50.781,-68.848,-104.492,0.000,0
1638713732.287,20.020,-50.293,-95.703,-170.898,0.000,0
1638713732.292,-194.824,-40.527,-94.238,-292.969,0.000,0
1638713732.296,-233.887,-36.133,-73.730,-309.082,0.000,0
1638713732.301,-50.781,-40.527,-81.543,-219.238,0.000,0
1638713732.287,126.465,-39.062,-91.797,-126.465,0.000,0
1638713732.291,71.289,-40.527,-77.637,-145.996,0.000,0
1638713732.296,-160.645,-42.480,-74.707,-267.578,0.000,0
1638713732.300,-260.742,-43.945,-82.520,-323.730,0.000,0
1638713732.305,-86.426,-42.480,-83.984,-230.957,0.000,0
1638713732.309,112.305,-41.016,-79.102,-108.887,0.000,0
1638713732.313,91.309,-38.574,-63.965,-93.750,0.000,0
1638713732.318,-126.953,-42.969,-74.707,-221.680,0.000,0
1638713732.322,-268.066,-43.945,-104.004,-328.613,0.000,0
1638713732.327,-103.027,-26.855,-89.844,-231.445,0.000,0
1638713732.331,114.746,-20.508,-76.660,-106.445,0.000,0
1638713732.336,99.609,-33.691,-90.820,-122.559,0.000,0
1638713732.322,-101.562,-42.480,-96.191,-236.816,0.000,0
1638713732.326,-229.492,-31.250,-75.684,-296.875,0.000,0
1638713732.330,-120.605,-26.855,-74.707,-237.793,0.000,0
1638713732.335,86.914,-26.855,-82.031,-135.254,0.000,0
1638713732.339,120.605,-29.297,-67.871,-103.516,0.000,0
1638713732.344,-74.219,-38.086,-67.871,-201.172,0.000,0
1638713732.348,-233.887,-41.016,-74.707,-283.203,0.000,0
1638713732.352,-162.109,-41.016,-87.402,-254.395,0.000,0
1638713732.357,53.223,-36.133,-90.332,-158.691,0.000,0
1638713732.361,125.488,-35.156,-73.242,-109.863,0.000,0
1638713732.365,-45.898,-39.062,-72.266,-187.988,0.000,0
1638713732.370,-237.305,-33.203,-88.867,-311.035,0.000,0
1638713732.359,-184.570,-21.484,-85.449,-290.039,0.000,0
1638713732.363,40.527,-27.832,-75.684,-148.438,0.000,0
1638713732.367,125.488,-38.086,-75.684,-104.492,0.000,0
1638713732.372,-35.156,-39.062,-79.590,-204.590,0.000,0
1638713732.376,-217.285,-37.598,-76.172,-295.410,0.000,0
1638713732.380,-184.570,-42.480,-70.801,-271.484,0.000,0
1638713732.385,19.531,-44.434,-74.219,-171.387,0.000,0
1638713732.389,130.859,-34.180,-77.637,-126.465,0.000,0
1638713732.393,-5.859,-28.809,-76.660,-199.707,0.000,0
1638713732.397,-193.359,-40.039,-61.035,-281.250,0.000,0
1638713732.402,-208.008,-47.363,-79.590,-299.805,0.000,0
1638713732.406,-12.207,-42.480,-91.309,-224.121,0.000,0
1638713732.396,147.949,-41.992,-74.707,-139.160,0.000,0
1638713732.401,17.578,-39.062,-84.473,-191.406,0.000,0
1638713732.405,-201.660,-42.480,-85.449,-305.664,0.000,0
1638713732.409,-226.074,-50.293,-76.172,-331.543,0.000,0
1638713732.413,-26.855,-41.992,-72.266,-222.656,0.000,0
1638713732.418,144.531,-29.785,-68.359,-134.766,0.000,0
1638713732.422,56.641,-25.879,-59.570,-185.547,0.000,0
1638713732.426,-164.551,-33.203,-60.059,-296.875,0.000,0
1638713732.430,-219.727,-36.133,-66.895,-322.266,0.000,0
1638713732.435,-42.969,-40.527,-67.383,-229.980,0.000,0
1638713732.439,104.980,-44.922,-86.914,-162.109,0.000,0
1638713732.443,46.387,-35.156,-81.543,-193.359,0.000,0
1638713732.434,-150.391,-32.715,-62.012,-282.715,0.000,0
1638713732.438,-248.047,-40.527,-70.312,-336.914,0.000,0
1638713732.443,-105.469,-43.457,-83.984,-283.203,0.000,0
1638713732.447,103.027,-36.133,-74.707,-175.781,0.000,0
1638713732.451,94.238,-38.574,-64.941,-171.875,0.000,0
1638713732.455,-126.465,-47.363,-67.383,-288.574,0.000,0
1638713732.459,-247.070,-48.828,-71.289,-350.586,0.000,0
1638713732.464,-111.328,-41.992,-77.637,-283.691,0.000,0
1638713732.468,115.234,-46.387,-60.547,-153.809,0.000,0
1638713732.472,117.188,-59.570,-64.453,-134.277,0.000,0
1638713732.476,-118.652,-51.270,-96.191,-285.156,0.000,0
1638713732.480,-240.234,-42.480,-70.801,-345.215,0.000,0
1638713732.473,-111.816,-39.551,-49.316,-256.836,0.000,0
1638713732.477,86.426,-39.062,-76.172,-173.828,0.000,0
1638713732.481,103.027,-41.016,-90.332,-162.598,0.000,0
1638713732.485,-75.195,-44.434,-74.707,-248.535,0.000,0
1638713732.489,-206.543,-51.270,-67.383,-340.820,0.000,0
1638713732.493,-134.277,-55.664,-72.754,-291.016,0.000,0
1638713732.498,65.918,-46.875,-76.660,-175.781,0.000,0
1638713732.502,141.113,-41.992,-59.082,-125.488,0.000,0
1638713732.506,-44.434,-51.758,-63.965,-221.191,0.000,0
1638713732.510,-232.910,-43.945,-79.590,-339.355,0.000,0
1638713732.514,-183.105,-36.133,-76.660,-311.035,0.000,0
1638713732.518,40.527,-43.945,-74.707,-188.477,0.000,0
1638713732.511,133.301,-53.711,-77.637,-141.113,0.000,0
1638713732.516,-32.715,-55.664,-89.355,-231.445,0.000,0
1638713732.520,-221.191,-48.828,-81.055,-335.449,0.000,0
1638713732.524,-174.316,-48.340,-52.734,-309.082,0.000,0
1638713732.528,35.645,-50.293,-53.223,-193.359,0.000,0
1638713732.532,123.047,-48.828,-75.684,-153.320,0.000,0
1638713732.536,0.488,-46.387,-74.219,-223.633,0.000,0
1638713732.540,-186.035,-50.293,-59.570,-314.941,0.000,0
1638713732.544,-213.379,-61.035,-69.824,-353.516,0.000,0
1638713732.549,-28.320,-55.664,-99.609,-305.176,0.000,0
1638713732.553,122.070,-44.434,-89.355,-228.027,0.000,0
1638713732.557,9.277,-49.805,-81.055,-290.527,0.000,0
1638713732.551,-199.707,-48.828,-83.984,-420.898,0.000,0
1638713732.555,-238.770,-39.062,-80.078,-462.402,0.000,0
1638713732.559,-44.434,-38.086,-73.730,-364.258,0.000,0
1638713732.563,124.023,-42.969,-81.055,-281.250,0.000,0
1638713732.567,26.855,-58.594,-90.820,-347.656,0.000,0
1638713732.571,-178.223,-62.012,-71.289,-455.078,0.000,0
1638713732.575,-219.727,-42.969,-57.617,-472.168,0.000,0
1638713732.579,-46.387,-36.621,-69.824,-388.672,0.000,0
1638713732.583,107.422,-45.898,-95.703,-336.426,0.000,0
1638713732.587,60.059,-41.016,-82.520,-372.070,0.000,0
1638713732.592,-137.695,-41.016,-58.105,-458.984,0.000,0
1638713732.596,-247.070,-52.246,-72.754,-527.344,0.000,0
1638713732.590,-99.121,-46.387,-84.473,-482.422,0.000,0
1638713732.594,97.168,-34.668,-73.242,-373.535,0.000,0
1638713732.598,86.914,-38.086,-63.477,-370.117,0.000,0
1638713732.602,-118.164,-41.016,-61.035,-493.652,0.000,0
1638713732.606,-225.586,-30.762,-60.059,-581.543,0.000,0
1638713732.611,-101.074,-34.180,-61.035,-645.020,0.000,0
1638713732.615,106.934,-45.898,-52.734,-719.727,0.000,0
1638713732.619,115.234,-42.480,-61.035,-881.348,0.000,0
1638713732.623,-107.910,-33.203,-81.055,-1000.000,0.000,0
1638713732.627,-244.141,-35.156,-73.242,-996.094,0.000,0
1638713732.631,-142.578,-41.504,-72.754,-999.023,0.000,0
