timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1634634569.973,-1000.000,-1000.000,-1000.000,-830.566,0.000,0
1634634569.977,-97.168,-185.059,-574.707,360.352,0.000,0
1634634569.981,-979.004,993.164,201.172,-1000.000,0.000,0
1634634569.986,-935.547,-922.363,308.594,-953.125,0.000,0
1634634569.990,426.270,231.445,-156.738,371.582,0.000,0
1634634569.994,-1000.000,-1000.000,-1000.000,-808.105,0.000,0
1634634569.998,-222.168,-360.352,-712.891,518.555,0.000,0
1634634569.989,-994.141,944.336,77.148,-858.887,0.000,0
1634634569.993,-943.359,-905.273,403.320,-1000.000,0.000,0
1634634569.997,599.609,222.168,-68.848,128.418,0.000,0
1634634570.001,-1000.000,-1000.000,-1000.000,-860.840,0.000,0
1634634570.006,-261.230,-535.645,-771.484,769.531,0.000,0
1634634570.010,-958.984,846.191,57.129,-548.828,0.000,0
1634634570.014,980.957,-869.629,468.262,-1000.000,0.000,0
1634634570.018,870.117,249.512,-13.672,-4.883,0.000,0
1634634570.022,-709.961,-1000.000,-949.219,-938.965,0.000,0
1634634570.027,-420.898,-772.949,-850.586,970.215,0.000,0
1634634570.031,-956.543,592.773,-48.828,-222.168,0.000,0
1634634570.035,924.316,-822.754,405.273,-1000.000,0.000,0
1634634570.028,-922.363,397.461,44.922,-174.805,0.000,0
1634634570.032,-341.309,-966.797,-765.625,-998.047,0.000,0
1634634570.036,-645.996,-1000.000,-981.445,-948.242,0.000,0
1634634570.040,964.355,283.691,-194.824,-64.453,0.000,0
1634634570.045,942.383,-811.035,369.629,-1000.000,0.000,0
1634634570.049,-900.879,561.523,136.230,-173.340,0.000,0
1634634570.053,-89.355,-799.805,-530.273,990.234,0.000,0
1634634570.057,-854.492,-1000.000,-1000.000,-919.922,0.000,0
1634634570.061,750.488,69.824,-269.531,121.582,0.000,0
1634634570.065,988.281,-880.371,389.648,-1000.000,0.000,0
1634634570.069,-919.922,818.359,103.027,-188.965,0.000,0
1634634570.073,184.082,-469.238,-510.254,995.117,0.000,0
1634634570.067,-1000.000,-1000.000,-1000.000,-925.293,0.000,0
1634634570.071,386.719,-93.262,-280.273,232.910,0.000,0
1634634570.076,-946.777,-968.750,409.668,-1000.000,0.000,0
1634634570.080,-947.266,-987.793,157.227,-399.414,0.000,0
1634634570.084,222.168,-154.297,-380.371,927.734,0.000,0
1634634570.088,-1000.000,-1000.000,-1000.000,-899.414,0.000,0
1634634570.092,125.488,-172.363,-401.367,218.750,0.000,0
1634634570.096,-937.500,994.629,327.637,-1000.000,0.000,0
1634634570.100,-948.730,-932.129,273.926,-575.684,0.000,0
1634634570.104,231.445,30.273,-199.707,816.406,0.000,0
1634634570.108,-1000.000,-1000.000,-1000.000,-858.887,0.000,0
1634634570.112,-36.133,-179.199,-616.699,283.203,0.000,0
1634634570.107,-970.215,990.234,197.754,-1000.000,0.000,0
1634634570.111,-941.406,-919.922,345.703,-848.145,0.000,0
1634634570.115,430.176,209.473,-180.664,503.418,0.000,0
1634634570.119,-1000.000,-1000.000,-1000.000,-811.523,0.000,0
1634634570.123,-222.168,-292.480,-684.570,436.523,0.000,0
1634634570.127,-994.141,970.215,127.930,-918.945,0.000,0
1634634570.132,-943.359,-915.039,402.832,-1000.000,0.000,0
1634634570.136,599.609,227.539,-107.910,172.363,0.000,0
1634634570.140,-1000.000,-1000.000,-1000.000,-824.219,0.000,0
1634634570.144,-260.742,-477.539,-726.074,652.832,0.000,0
