timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1639024061.096,-1000.000,-477.539,-23.926,-96.680,0.000,0
1639024061.101,-375.488,-385.254,-40.039,-92.285,0.000,0
1639024061.106,844.727,228.516,-57.617,28.320,0.000,0
1639024061.111,-977.051,479.980,-66.895,95.215,0.000,0
1639024061.116,159.180,145.508,-67.383,20.020,0.000,0
1639024061.121,-1000.000,-126.465,-70.312,-96.680,0.000,0
1639024061.112,-358.398,44.922,-74.707,-94.727,0.000,0
1639024061.117,891.602,-20.020,-54.688,42.480,0.000,0
1639024061.122,-946.289,-493.164,-20.020,123.535,0.000,0
1639024061.127,469.727,-72.266,-23.926,27.344,0.000,0
1639024061.132,-793.945,32.227,-29.785,-105.469,0.000,0
1639024061.136,-389.648,-345.703,-29.297,-114.746,0.000,0
1639024061.141,831.055,-40.527,-22.949,16.113,0.000,0
1639024061.146,-951.172,514.160,-55.664,118.164,0.000,0
1639024061.151,630.371,400.391,-107.910,66.895,0.000,0
1639024061.156,-669.434,-64.941,-79.590,-53.223,0.000,0
1639024061.161,-523.926,-92.773,-47.852,-95.703,0.000,0
1639024061.166,785.156,281.738,-41.016,-29.785,0.000,0
1639024061.154,-971.680,515.625,-29.297,57.129,0.000,0
1639024061.159,775.391,298.340,-14.160,36.621,0.000,0
1639024061.163,-352.051,16.602,-15.137,-87.891,0.000,0
1639024061.168,-472.168,-83.008,-30.273,-141.113,0.000,0
1639024061.173,764.648,130.371,-34.668,-36.621,0.000,0
1639024061.178,-984.375,270.508,-19.043,110.840,0.000,0
1639024061.182,901.367,101.074,-17.090,112.305,0.000,0
1639024061.187,63.477,-206.543,-60.059,-21.484,0.000,0
1639024061.192,-318.359,-582.031,-98.145,-91.797,0.000,0
1639024061.197,659.668,-527.344,-79.102,-42.969,0.000,0
1639024061.201,-991.211,232.910,-33.691,34.668,0.000,0
1639024061.206,936.523,589.844,-28.809,47.363,0.000,0
1639024061.192,-55.664,-124.023,-32.715,-47.363,0.000,0
1639024061.197,-815.430,-839.844,-16.602,-133.301,0.000,0
1639024061.202,366.699,-227.539,-26.855,-75.195,0.000,0
1639024061.206,-953.125,473.633,-35.645,71.777,0.000,0
1639024061.211,902.344,20.020,-34.668,79.102,0.000,0
1639024061.216,-7.324,-866.699,-54.688,-58.594,0.000,0
1639024061.220,-913.574,-671.387,-64.453,-155.273,0.000,0
1639024061.225,107.422,39.551,-56.641,-127.930,0.000,0
1639024061.230,-953.125,-172.852,-9.277,12.695,0.000,0
1639024061.234,911.621,-456.055,14.648,66.895,0.000,0
1639024061.239,-108.398,41.016,-5.859,-74.707,0.000,0
1639024061.244,-1000.000,-18.066,-4.883,-205.078,0.000,0
1639024061.228,-491.699,-730.957,5.859,-141.602,0.000,0
1639024061.232,766.602,-614.258,-18.066,6.348,0.000,0
1639024061.237,-972.168,407.227,-50.781,54.199,0.000,0
1639024061.241,-4.883,272.461,-46.387,-10.254,0.000,0
1639024061.246,-1000.000,-683.105,-27.344,-127.930,0.000,0
1639024061.251,-539.551,-877.930,-22.461,-145.020,0.000,0
1639024061.255,706.543,-160.156,-17.090,-39.551,0.000,0
1639024061.260,-930.664,87.402,-12.695,45.898,0.000,0
1639024061.264,141.602,-610.352,-9.766,-17.090,0.000,0
1639024061.269,-1000.000,-691.895,-12.695,-141.113,0.000,0
1639024061.273,-530.762,44.434,-36.621,-162.598,0.000,0
1639024061.278,710.938,92.285,-34.180,-28.320,0.000,0
1639024061.262,-907.227,-377.441,-22.461,88.867,0.000,0
1639024061.267,328.613,-47.363,-19.043,16.113,0.000,0
1639024061.271,-935.059,270.996,-31.738,-139.160,0.000,0
1639024061.276,-833.496,-371.582,-45.410,-166.992,0.000,0
1639024061.280,348.145,-697.266,-25.391,-47.363,0.000,0
1639024061.285,-887.695,-8.301,8.789,52.734,0.000,0
1639024061.289,417.969,239.746,0.488,10.742,0.000,0
1639024061.294,-870.605,-500.000,-12.207,-102.539,0.000,0
1639024061.298,-877.930,-805.664,6.348,-141.113,0.000,0
1639024061.303,334.961,21.484,-14.648,-68.359,0.000,0
1639024061.307,-923.828,435.059,-33.203,71.777,0.000,0
1639024061.311,679.688,-189.453,-34.668,91.797,0.000,0
1639024061.298,-526.367,-509.277,-47.363,-49.805,0.000,0
1639024061.302,-978.516,6.836,-23.438,-166.016,0.000,0
1639024061.306,206.055,90.820,-6.836,-128.418,0.000,0
1639024061.311,-900.391,283.203,-14.648,4.883,0.000,0
1639024061.315,645.508,475.586,0.000,39.551,0.000,0
1639024061.319,-545.410,15.137,8.301,-57.129,0.000,0
1639024061.324,-1000.000,-456.543,6.348,-130.859,0.000,0
1639024061.328,-83.008,-701.172,8.301,-60.059,0.000,0
1639024061.333,-948.242,-4.883,-12.207,65.918,0.000,0
1639024061.337,744.629,664.551,-16.113,99.121,0.000,0
1639024061.341,-411.621,44.434,-13.184,-2.441,0.000,0
1639024061.346,-1000.000,-425.293,-32.715,-127.441,0.000,0
1639024061.333,-314.453,-36.621,-24.902,-93.262,0.000,0
